training,Drowsy,Drowsy_Video1,26
training,Drowsy,Drowsy_Video2,26
training,Drowsy,Drowsy_Video3,26
training,Drowsy,Drowsy_Video4,26
training,Drowsy,Drowsy_Video5,26
training,Drowsy,Drowsy_Video6,26
training,Drowsy,Drowsy_Video7,26
training,Drowsy,Drowsy_Video8,26
training,Alert,Alert_Video1,26
training,Alert,Alert_Video2,26
training,Alert,Alert_Video3,26
training,Alert,Alert_Video4,26
training,Alert,Alert_Video5,26
training,Alert,Alert_Video6,26
training,Alert,Alert_Video7,26
training,Alert,Alert_Video8,26
testing,Alert,Test_Alert1,26
testing,Drowsy,Test_Drowsy1,26
testing,Alert,Test_Alert2,26
